FOXA1
VGLL1
TFF1
ESR1
GREB1
MLPH
SERPINA5
SPDEF
GABRP
GFRA1
XBP1
KRT23
GATA3
SCUBE2
ABAT
CDKN2A
TM4SF1
GALNT6
MID1
IGF2BP2
CERS6
COL4A5
TTC39A
FAM171A1
PRKX
FABP5
SCNN1A
TFF3
VSNL1
PLIN2
RET
SIDT1
BCL11A
ATP7B
SLC16A1
KRT19
ATF3
GLS
PP14571
EN1
SLC43A3
TSPAN1
SLC9A6
SLC6A14
ANXA9
MYC
ERBB4
KLHL7
BTG2
TBC1D9
KRT18
DNALI1
NFIL3
AQP9
TSPAN13
PELI1
GPM6B
GAL
TOB1
PTTG1
TRIL
CFB
FAM216A
GATA2
AGR2
SLC39A6
SLC2A10
BTG3
KRT8
HLA-DQB1
WFS1
CXCL5
NQO1
GSE1
HLA-DQA1
SLC9A3R1
VSIG4
HSPA6
FUT8
PPIF
NBEA
PIP4K2C
RAB17
XIST
ST6GALNAC2
TM7SF2
RHOB
KIF20A
KIF16B
TREM1
SCGB2A2
C5orf30
MAOB
WWP1
CYP26B1
ADGRG2
INPP4B
ADM
KRT6B
AREG
CPA3
UPF3B
SMCO4
CCND1
AGL
CELSR1
SOX10
NOTCH1
SPRED2
DIAPH2
KIAA1324
DUSP4
CDH1
MKL2
PTX3
SUV420H1
SPG11
RALGAPB
CAP2
DNAJC12
SUOX
HS3ST1
NAT1
MARCO
NCOA3
ABCD3
CCL2
ARHGEF9
KDM4B
DNAJC22
BCL2A1
VAV3
PLA2G4A
SDHAF3
QRSL1
MCM5
COL4A6
PIP
SDC4
HCCS
SERPINB5
SPDL1
MYO10
FAM174B
CAMK2N1
LBR
SEMA3F
CLDND1
EPS8
LRBA
GGPS1
TTK
CSTB
TUBB6
TEX30
CXCL8
ART3
FNDC3B
TFAP2B
ARF3
PRKD3
CCDC176
SCGB1D2
HMG20B
TRMT11
SLC2A5
CD163
RABEP1
EVL
RBM47
KRT16
LYN
GSPT2
MYO5C
RALGAPA1
LDHB
DHRS2
AMD1
NDUFAF4
CEBPB
IQCE
CAV2
FAM57A
ZNF91
TTLL4
SCAMP1
SLC44A4
ENO1
MAGED2
RARRES1
KCNN4
ST3GAL6
CA12
PDZK1
YBX3
CHI3L1
KIAA0232
RNASEH1
FGFR3
MCF2L
TRIP13
ANGPTL4
HHAT
CHI3L2
PLTP
TEX10
ZNF587
CD14
CTSB
NCK1
ATHL1
FOXC1
TCAF1
SPHK1
PROM1
MPZL2
CYR61
TEAD4
GART
ECI2
SHROOM2
PCOLCE2
PFKP
CBFA2T3
ASNS
CDC20
PTGS2
DALRD3
VPS37C
STOML2
JRKL
TTC13
ETS2
KIAA0226L
ALDH3B2
HOXC6
PLEKHF2
CD300A
SERPINE1
KAT6B
UGDH
DNPH1
BST2
SERPINE2
CTSL
TOM1L1
PPP1R3D
E2F3
HPSE
NUCB2
PER2
DONSON
GPD1L
UPP1
CST6
SLC25A1
APBB2
SKP2
KIF4A
AR
TPSB2
SYNM
SLC1A1
BBS1
RCAN1
MMP12
MEIS3P1
PSMB4
CEBPG
AMIGO2
RARA
CDS1
MS4A4A
CELF2
DSE
SEMA3C
FBL
FCGR2A
RPS7
PBX1
PKM
DACH1
PTHLH
MME
IMPA2
TOX3
FYCO1
GSTP1
SIRPA
BCAS1
PIK3R3
PLAUR
SERBP1
TRAF3IP3
CRNKL1
GOLT1B
SREBF1
DUSP7
TCF7L1
MIA
DZIP1
PKP1
LGALS8
STK39
AKR1B1
ACYP1
DAAM1
FBP1
CRYAB
TMEM158
ANKRD36
CXCL1
