FOXA1
VGLL1
SPDEF
TFAP2B
CLCA2
SERHL2
GABRP
AR
PSIP1
MLPH
TRIM36
HMGN4
PIP
PRKX
UGT2B28
ALDH3B2
CDKN2A
HPRT1
SIDT1
FASN
IGF2BP2
PAPSS2
FABP5
GLS
DHRS2
SPRED2
LBR
ANP32E
GSE1
ATF3
KMO
CERS6
GSPT2
XBP1
TM4SF1
SEPHS2
SLC16A1
GPM6B
AGPS
DHCR24
RNF219
KRT6B
MPHOSPH6
TSC22D3
ADCY7
ALCAM
FAM171A1
NFIC
RNF138
VSNL1
PRKAA1
QPRT
TRPV6
HGD
MID1
KRT23
IPO5
TYMS
MYC
MAGED2
KDM4B
CYB5A
SH3BP4
TUBB6
BCL11A
FAM216A
LDHB
GALE
FAH
TRIL
MKNK2
KDELC1
GSTZ1
SLC6A14
CYB561
PON2
DDRGK1
SMC3
CLDND1
STOML2
MYBL1
DUSP4
NRAS
ARGLU1
EPB41L2
SLC22A18
SOCS5
BNIP2
ARHGEF6
ASPH
PLCL2
SNRPD1
TM7SF2
SLC2A10
ACYP1
CERS4
KIF23
CCL2
TP53TG1
ANKRD36
TMEM176B
GNAI3
TMEM135
DUSP10
RBM47
PLSCR1
CROT
CLIC3
SERPINB5
ME2
KIAA0226L
KRT18
GALNT7
MELK
TRAF3IP3
DSE
PCID2
PGRMC2
KRT19
TOP2A
CLN3
ARFIP2
NOTCH1
PRLR
TFDP1
CAV2
GTF2E2
TUBGCP3
KIF11
TOB1
RGS10
CRAT
TRMT11
STK26
SOX10
KIF18B
PXN
VSIG4
REEP5
EVI2A
FABP6
CDH1
TSPAN8
FAM174B
MSX2
GGTLC1
TSPAN3
CYP2J2
STK24
SRF
HSPA6
PBK
AKT3
SLC9A3R1
LY96
ERMP1
ABHD11
CES1
RNF24
ZMYND8
BTG3
DCXR
MED28
FAM208B
DNPH1
PROM1
PPP1R3D
CHI3L1
UPF3B
FHOD1
ARHGAP32
SEC16A
VPS37C
QKI
RPIA
RND1
SPRY4
GHR
KANK1
FAM105A
UCP2
ARHGEF2
PLA2G4A
GALNT6
SNAPC3
C1orf115
WDR47
AACS
TRIP11
TTC39A
TTC13
KIAA1324
UBE2E3
EN1
DAP
SORD
ACSL4
TMEM134
ABCA12
GNMT
BUB1
DGKD
ACAA2
AGR2
DIAPH2
QPCT
PELI1
AKR1B1
ZKSCAN1
TPP2
PTTG1
ADGRG2
KLHL7
CARS2
NCOA3
SMNDC1
CELF2
GAL
ETFB
CD14
ECHDC2
ABCC2
OPTN
AZGP1
SLC9A6
CYP26B1
C2orf72
GCAT
PDLIM1
SGCB
PKP1
SPDL1
CASP6
COL4A5
TTK
FOXC1
FBL
NQO1
YIPF1
WWP1
OSBPL11
FGFR2
ATP7A
MBP
TPGS2
SPTSSA
BIK
S100A4
GPR161
FOXM1
CEP70
HSPA13
PIP4K2C
TMEM87A
HMG20B
MICB
SYNCRIP
DALRD3
AMD1
CASP8AP2
KIF20A
FMR1
C3orf14
TMEM158
PBLD
SCNN1A
FZD4
PMAIP1
APMAP
PEX11A
ECHDC1
TEX10
CCDC109B
TMBIM6
ACOX3
ECI2
SLC37A1
TEX30
ALOX15B
SLC38A1
DNAJC22
PFKM
NEK2
APOD
GSTO1
RNF141
PTK6
BCL2A1
PAM
CCDC88A
CHST1
HRASLS2
FSCN1
SEC23B
GINS1
PIK3R3
UBP1
RAD51AP1
MARCH3
SACS
RPS6KA3
ENOSF1
TCERG1
CACFD1
TMEM62
EMP1
HDLBP
IRS2
KIT
RPS6
PPP2R2A
CEP55
LRRC8D
SLC43A3
TGDS
FCGR3B
ALDH6A1
PRKACB
POLR1E
CBR1
MALT1
CADPS2
XYLT1
TSPAN13
FANCL
LPCAT3
CDC16
GPSM2
ACSF2
MIA
PTX3
PYCRL
CORO1A
AKR1A1
RASGRP1
ANKRD27
KCNMA1
BLVRB
REEP1
PCOLCE2
PNN
CCL8
CSGALNACT2
FASTKD1
CD163
NOL3
HIST1H4H
CYBRD1
MARCO
DCK
MTMR1
ACTL6A
DEK
MTMR2
DZIP1
MAPK10
WDR3
ZEB2
C9orf91
PREP
ARL4C
SREBF1
PIGV
FEM1C
RNF11
PFDN2
ACTR3B
E2F3
SCD
TBL1X
ITPR2
KIF15
FANCG
CTBS
HPSE
JRKL
MDFIC
UGDH
RRAGA
RWDD1
MSMO1
FGFR4
EDRF1
ARL3
SIGLEC15
PTPN2
DIEXF
ACAD8
EIF1B
PTGS2
FCGR2B
ZBTB5
WASF1
ART3
MS4A4A
MGST2
ZNF267
SPHK1
CXCL5
KRT16
PDCD2
MSN
DPYSL2
RBM15
SRD5A3
CTSL
MME
TMPRSS3
PLIN2
CD151
CENPF
TMEM8A
KIAA0485
EFHD1
FAM110B
TLR1
SPTBN1
TMEM176A
RPS6KA5
ZWILCH
RFC4
PNPO
SPATA2
SCP2
NAV2
IFNAR2
RAB40B
KCNJ2
SLC2A3
SLC16A2
TAF5
WSB2
SERPINE1
MAP3K8
BBS1
ELF5
SEL1L3
CASP1
CRABP1
UPF3A
CDC42EP3
GMNN
RGS1
SEC23A
CNTNAP2
AP3D1
SYNM
ACOX2
TP53BP2
MEX3C
EIF2AK2
NT5C2
AKT1
PIM1
MLEC
TTLL7
G6PD
NDUFAF4
SH3BP5
FYN
RABGAP1L
SMAD4
BUB1B
ASPM
MNDA
CCR1
RNF114
LASP1
CORO1B
RETSAT
FCGR2A
GPD1L
NCK1
FCGR1B
SLC1A1
PSMD5
GRK5
AKR1B10
BAG1
TBC1D16
EGF
RTN3
NUCB2
OSBPL2
SPC25
MGST3
TIPIN
PNISR
SSBP1
ANO10
MDC1
SNRK
NCAPG
TMEM254
LYN
TREM1
GOLGA5
MCCC2
EZH2
RAI14
PRKCA
UBA2
ASNS
AQP9
ST3GAL6
ADD2
RPS7
KIAA0020
TRIM22
CCNB2
DMD
GPR65
HMGCS2
LIMA1
STMN1
TSTA3
MSH2
TSPYL5
N4BP2L1
MAOA
SVIL
PRKD3
KRT8
RAB15
PAK2
C2orf54
C10orf2
RSBN1
PIK3R1
ABCC6
SPTLC2
RRP1B
CEP57
S100A6
SERPINE2
GAS1
BRINP3
HS3ST1
ERBB4
SLC35A3
KLK7
GNA15
SMYD2
MEGF9
GPRC5C
NSFL1C
VAV3
THEMIS2
GGPS1
NUPL2
PPP1R13B
GGA2
VTCN1
GALNT10
CASD1
NDC80
PNMAL1
UBQLN2
TNFRSF10B
SMCHD1
HOXB2
CDC20
RNF103
PPCS
HSF2
DEPTOR
TSC22D1
PLAUR
PPP2R3C
RPL14
TMEM132A
CYBA
CEBPG
ST6GALNAC5
ERBB2
NHLRC2
PCLO
CPQ
NSMCE4A
CXCL1
GFPT2
SLC39A14
ZNF232
ESRRG
TNFRSF21
AHR
CD86
BASP1
ABAT
C11orf71
PSRC1
CLDN8
DAPK1
CLGN
GCHFR
LPL
GJB1
ZIC1
IL1R2
KIF14
VWA8
MRC1
DDX18
FXYD6
BCL2
NCF2
CAV1
TTC12
MYL6B
CUL4A
WFS1
ATP11B
KAT6B
GTPBP4
NDNF
PDPK1
DNAJB6
FARP1
HMGB2
DUSP12
SC5D
CLEC4A
DMXL2
WWTR1
CDK19
BSG
CLU
MYO6
ATP13A3
ARFGEF2
GIMAP6
AK4
ADAM28
SCG5
FZD7
DESI2
IDH1
DACH1
ANKEF1
AIM2
RABEP2
NUP88
CTSV
ATP6V1G1
ARHGEF9
LRRC31
DUSP7
RRP15
ANKRD36B
PSMF1
NNMT
BCAP29
IFI16
GPR183
PDP1
LRBA
MSRB1
ZNF165
TAF1A
CES3
CCNE1
ITGB4
TLE1
TCF7L1
NAAA
INPP4B
TCF7L2
FJX1
CPNE3
OGT
NAB1
LXN
MTFR1
FUT3
ZNF350
PLEKHB1
GNAS
ELOVL5
UTP14A
SFRP1
CAND2
PAK1IP1
KCNN4
REV3L
HMG20A
VCPKMT
SRGN
XIST
CRIPT
GPX4
VPS37B
MMP7
SOAT1
SMAGP
SCML1
HCLS1
CD300A
EXOSC8
RANBP6
ELOVL6
FCN1
STIL
RECQL
PGAP3
CNIH4
C10orf10
FBXO5
KIAA0232
IGFBP3
SLC25A24
IFT57
GATA3
SYNGR2
TSPAN5
PLTP
TPM4
SECISBP2L
IL27RA
MAGED1
MRPL9
ISG20L2
SEH1L
LSM14A
RAB38
DDC
FAR2
MED17
CKS2
PLAGL1
PODXL
CADM1
CYB561D2
KIAA0907
HSPA4L
CYFIP2
ITGB1BP1
GPX7
EFEMP1
FAM234B
