TFF1
GREB1
ESR1
SERPINA5
CLCA2
GFRA1
PAPSS2
SERHL2
TFAP2B
PRKAA1
SCUBE2
MPHOSPH6
UGT2B28
PSIP1
TRPV6
HMGN4
ZDHHC17
BTG2
KMO
BCL2
ARL3
AR
STK39
MAOB
TRIM36
CFB
CLIC3
DAP
TSPAN3
TOP2A
SDHA
MYO10
PGRMC2
PFKM
IGF1R
IL6ST
ATP7B
HLA-DQA1
IFIT5
EVL
AGL
RNF24
ANXA9
MED13L
PON2
ARID4B
CBR3
FABP7
ALDH3B2
ADCY7
HPRT1
AGPS
REEP5
CALHM2
PNMA1
SPRY4
DCAF10
RNF141
CES1
ATP7A
SMCO4
SLC24A3
EIF2AK2
SMC3
ALDH1A3
ABCC5
GATA3
BST2
C5orf30
ADM
ETFB
SPAG16
HGD
SUZ12
CYB5A
TRPS1
FABP6
TMEM176B
CPA3
FASN
NAAA
NHLRC2
CLDN8
MCF2L
NAV2
MICB
TRAF5
PIP
SEPHS2
QPRT
HDGFRP3
GUCY1A3
MCCC1
IRF9
KRT7
PSEN2
PRPF4B
STK26
NPY1R
CASP7
RNF138
NF1
PMAIP1
ABAT
PFDN4
NBEA
SMARCE1
ABCC2
SRD5A3
N4BP2L2
PPP2R3A
HRASLS
PPIF
DDX60
HLA-DQB1
MINPP1
SMPDL3A
UPF3A
FAH
DBI
SCCPDH
IKBKB
ROCK1
PGK1
CHST1
DNALI1
CTBS
FZD2
TSPAN8
TK1
MAPK10
HSD17B2
TBL1X
CYP2J2
WDR6
AKR1A1
ACAA2
ADCY9
RNF219
IPO5
GNMT
STYK1
GHR
RNF114
ACAD8
ALOX15B
PRKACB
ATHL1
FAM208B
ASPH
GGTLC1
FUT8
SLC39A6
STK24
TCFL5
TUBA1A
GCAT
CELSR1
IFIT1
CEP70
ZMYM4
TMEM109
SPTSSA
SMAD3
INHBB
ANP32E
EPS8
PP14571
BRINP3
EPB41L1
AP2B1
MEX3C
MMD
TYMS
ARHGEF40
MEIS3P1
FEM1C
ALCAM
CRABP2
CDC34
KPNB1
FGFR2
ST6GALNAC2
MYBL1
TALDO1
CDKN1B
NAT1
DHCR24
